Video ID,text_cleaned,cluster,x0_Bert-CLS,x1_Bert-CLS
cUsVaMMdicc,TOP 10 ONLY FOUND IN PHILIPPINES ?,1,1.5259624,1.0406219
BNEcbKDIIgg,BOODLE FIGHT!! ONLY IN THE PHILIPPINES?!,1,1.522559,0.8680788
s6WO91bUoaM,OSLOB MORE THAN WHALE SHARKS?,1,1.8112129,0.97023314
9jTY_F3I8OI,WE ARE IN CEBU CITY!,1,1.6876045,1.579402
UROm764SUSE,WON THE WORLD CUP!,1,1.4711955,1.4146005
g7CpdlAtw-M,IS IT DANGEROUS?,1,1.6484693,1.7416219
wGyBP1ec3Kc,MIMIC OCTOPUS!,1,0.62348235,2.367751
Py0b8cWz4es,STRANGEST PHILIPPINES FESTIVAL?!,1,1.0607446,1.3655494
BZA1TUcHa4k,WHY? FILIPINO,1,1.6015552,0.18697323
o8rlDKzIQik,HOW IS FILIPINA WIFE?,1,1.7262851,1.7203685
sSNoIF-wAmw,THIS IS GROSS!,1,1.4374799,2.0105102
uxAUPU1Gi0U,HILARIOUS REACTION! JAPANESE TRY FILIPINO ALCOHOL!,1,1.5907574,0.9660819
g2a8zpm2_Y0,theyre amazing.,1,0.05515608,2.6277661
MraeBd8ft78,CESSPOOL TO PARADISE?,1,0.81191033,2.2530618
z71dKXpOaOs,HOMESICK? SK TITULKY,1,1.3481823,0.14707002
RSTFMBuUwwU,SABAH IS MINE!,1,1.1943308,2.1568987
vgHfpMFRDnA,We hear THIS every day,1,0.44385597,2.13447
sATsGNBRD9k,PH RESPECT WHAT'S THIS??,1,1.6098897,0.7016758
whQvP6x2yMY,You should Do This!,1,0.3700488,2.581611
SLq86U68qO8,BGC WHAT'S THE BIG DEAL?,1,1.6818336,1.2947437
K6dZW1V3-FU,HOW DOES THE WORLD EAT AVOCADOS?,1,1.7912343,1.026205
v8RYbc8PvuY,WOULD WE DO IT AGAIN?,1,1.7466197,1.2223693
xPS2OWccG1g,TAGALOG CHALLENGE BABABA KA BA?,1,0.9775974,1.3028207
QUKFYwsVrAM,WHAT HAPPENED TO OUR PHILIPPINES HOUSE?,1,2.0399218,1.1203955
i2ivLsfmFoQ,FILIPINO FEAST!!,1,0.8491888,1.5117112
NbND1Zfw6TY,CHANGE YOUR LIFE GET AVA!,1,1.8855218,1.1313192
gC4nON-snQM,ROMBLON We didn't expect THIS!!,1,0.84672743,0.8517128
zgorXUEC_dk,THIS HAPPENED SO FAST! SO SCARY!,1,1.8599458,0.8641853
yLK-4bcZVtQ,JAPANESE REACTION WOW!,1,1.7382722,0.8703918
qPLQ2AR_Cu8,WE COULDNT BELIEVE THE TASTE!,1,2.070078,0.33788222
IT9r-ovHmDM,I CAUGHT DENGUE... IN THE PHILIPPINES?,1,1.1020672,1.1305844
hSUCsi3FdCU,This Is Not Normal!!! Filipino LISTEN Mic sharing CHALLENGE!,1,0.91655415,1.4185957
btEYK52Dwsc,THIS IS CRAZY FUNNY !,1,1.769565,1.6802669
Wyu0OCB7dn4,EATING BALUT!!!,1,0.8920057,1.6574477
8_wGkSYK3Yk,HERE'S WHY WHY ARE THEY SO GOOD?!,1,1.7630942,0.87712544
oAvtmdAnZCU,WHAT??? She can BLOW!,1,1.0400878,2.028066
ed06JdrU4BM,Owl of Asia LIFE IN MANILA? GOODBAD?,1,0.85240644,2.346681
jPUSclSyUiQ,PHILIPPINES WE FAILED!,1,1.8528084,0.81013805
rGI-ybl6hmQ,WHY WE COME HERE IN,1,2.450159,0.25420603
qe16IBUcZmY,Two people in one Marcelito?!,1,0.34411752,2.149189
bSaPw3r8lkc,HOW MUCH FOR EVERYTHING?,1,1.6569027,1.756554
fOE4NCgK4DI,FAILED PRANK?,1,1.1440227,1.882073
9zoaiIkFwiI,TUNA SISIG steak version!,1,0.03223256,1.9777694
EIFjXZ4E9Yk,EXTRADINARY PINOY FOOD !!!,1,1.387294,0.60050166
e8d-RyhSehM,CHEESE?,1,0.5819418,1.8907783
9ge3G_sWFlw,THIS IS MANILA?,1,1.6340172,1.8757949
P_1aJaBTcJg,HOW TO TRAVEL TO Philippines IN 2022 VISA ON ARRIVAL FOR INDIANS!,1,1.7605613,0.5545181
Wnc6d-DQpNs,PHILIPPINES HAS CHANGED!,1,1.8328172,0.7894611
PjIoYOB0Juk,"AHOY THERE MATEY, WE'VE FOUND BORAGAY!",1,1.7650309,0.37684745
bHa9LfG38bA,LATINOS REACT TO UNBELIEVABLE!!! CAN FILIPINOS REALLY SING?,1,1.4996219,1.5809714
84fQk0qUAsQ,THOSE HARMONIES!,1,1.2591867,1.7274237
TCOE79IOmLM,GO TO SCHOOL WITH ME,1,1.5493387,0.44303298
fGHZBpxJkrw,ANG MAHIWAGANG TALONG!,1,1.3933532,1.2391944
q86_2e-nnqE,It's so,1,0.19334473,2.5082355
gneWTTqkMb0,$395 PER MONTH ONLY!,1,0.6023998,1.362606
V3TCTZuCGy4,MY BRITISH FRIENDS TRY LUMPI!! Will they like it?,1,0.91394657,1.4933815
HYwBHEIfj_U,EASTWOOD CITY MANILA WOW!,1,2.1886234,0.63213414
mOxxtznRdeg,WHEN?,1,1.1964623,1.2756048
0nVPBJnjzeI,PHILIPPINES BEAT EVERY COUNTRY!! PH WINS 3 TRAVEL AWARDS!!,1,1.4163755,0.5741495
klMo0d2-VOs,Ikaw kaya ang nagyayaya! PRIVATE!,1,0.20015459,3.4544768
LV2RZPV3aR8,EATING PARES FOR THE FIRST TIME IS IT ANY GOOD?,1,1.9646949,0.27710536
_5ZwLBjVJ30,WOW THOSE HARMONIES SA INUMAN SESSIONS ARE NO JOKE!,1,1.9005724,0.051003836
SaiDP96j2P8,WHY I LOVE PHILIPPINES?,1,2.0318139,1.8386047
6fnKelBiaDk,JAPANESE SHOULDN'T COME TO PHILIPPINES?! REALLY?!,1,1.7084868,0.838941
6um6YczI0qk,TALENT!,1,1.1544276,1.5847727
MjL05yopUzw,IS BOHOL WORTH IT?,1,1.4433951,1.5503596
RBlt4rwpyyo,how do they do that?,1,0.55662733,2.7351403
JBMQsxcS0Xk,AMERICAN Try to EAT FILIPINO FOODS Magustuhan kaya NILA?,1,1.1481969,1.1541933
4ZlCwZj90Jk,NEVER HAVE I EVER,1,1.8183026,0.13013323
1Ccsgr9T69Q,PHILIPPINES WE'RE BACK!,1,1.987745,0.9673854
UtPSGNu07dU,WHEN FOREIGNERS RESPECT FILIPINOS 3 THE GOAT!,1,1.9279413,0.20925269
cZxCDeyNN0g,PHILIPPINES VOTED 1 IN ASIA! Better Than Bali!,1,1.3232316,1.4059792
FLsTtX7FMJA,THIS SONG ISN'T EASY TO SING!,1,1.9873059,1.0093038
DG-ZLIbE4Xs,SUPER TASTY! FROM THE PHILIPPINES!,1,1.5589975,0.7850043
XI0AsIl2bZ0,BETTER OR WORSE?,1,1.2574894,1.6943715
WL89vihzjjk,BOODLE FIGHT!,1,1.5666139,0.9282497
5xiTu6aUkQE,SARAP?!,1,0.41913083,3.0691104
401ZvQ11euA,DUTERTE SOLD OUT?,1,1.3804952,1.1192431
SUNE9Kflopg,TRYING MORE FILIPINO FOOD!,1,1.832924,0.7009101
skoiHrfdETA,WORLD CLASS FILIPINO TALENT with Michael Jackson?! THIS BLEW US AWAY!,1,1.3794655,1.4195582
DiYTTHUchMc,WHAT LIVING IN NORWAY TAUGHT ME ?,1,1.7793297,1.3186044
JZnvP1MWBlk,INCREDIBLE PHILIPPINE ART!,1,1.3881255,1.4596924
Ty2GiwdE7jA,incredible!,1,-0.29341453,2.849638
Gy-8lssJcYU,YOU VOTE!,1,1.3664734,1.5226877
KrbZE3SL1vU,BOHOL BEST BEACH?,1,1.1317729,1.6679132
SBWBp125e4Y,THINGS TO DO IN CEBU MUST DO IN CEBU!,1,1.735893,1.2908461
cVkJ6Qn5JNI,LOCKDOWN DIARIES i GOT VACCINATED in VIETNAM!,1,1.3195443,0.78009266
ulArT3oWyyw,EATING FILIPINO FOOD!,1,1.68855,0.93930036
_nJkaMeJESU,CAN'T STOP KISSING YOU,1,1.9775288,1.1963798
gL_3rTTAsoE,FILIPINO WEDDING ARE CRAZY!,1,2.017659,0.6123687
s-7XxMvb09M,MASARAP BA? HALO-HALO!,1,0.7260213,2.1954522
N3Cit-AE43o,ONLY EATING Jollibee for 24 HOURS!!,1,1.0754186,1.3273964
hdZydzqcaiU,CALIFORNIA KING BED! OMG! FILIPINO SINGING CHALLENGE!,1,1.5736201,1.0107318
N9ZT_Ot_1ao,WHAT? PREGNANT? BEFORE MARRIAGE?,1,1.6144149,1.7157269
