Video ID,text_cleaned,cluster,x0_Bert-CLS,x1_Bert-CLS
TeMYei9-L3I,HOW TO DRINK RED HORSE,0,2.0898552,-1.1744705
7YUatj_Uq6c,TOP 10 PLACES TO SEE PHILIPPINES,0,1.7642305,-1.5945466
Q7teS12VJfg,ANGELICA HALE,0,1.4168143,-1.7159463
QG61j-coCgM,THE MIRACLE OF T16 ICONIC ESPORTS MOMENTS,0,1.8630881,-2.5543735
z9K8LE9lgqA,DAY 1 HEL DAY 2 THE PEOPLE.,0,1.5181309,-0.20352678
k1ZKMHbV9Ik,APO WHANG-OD NEXT OF SKIN THE BEAUTY ISSUE,0,1.6838312,-2.2287195
TaedpHFzjt0,SHE SLAYED BOTH ANTHEMS,0,2.0284011,-1.5317657
0MdmKnVutTI,AWESOMETHONY,0,1.5740398,-2.320627
lpO1wXhWsQA,HEADVOICE AND FALSETTO,0,1.4784188,-0.4522544
JGkhrd5j3Fo,OUR FIRST TIME,0,1.9630473,-1.4000031
nmUROqCb1eA,EUMEE CAPILE THE FIRST NOEL REACTION,0,1.8483008,-2.4514482
LJVZTzmf-Yk,WE'RE MOVING,0,2.4508743,-0.9501558
krm9y3dkKzo,PHILIPPINES VLOG 08 PROJECT PEARLS CHARITY,0,1.7252607,-2.0013714
Rp5fXhcEYhw,SUPER FIRE NOODLES,0,1.636474,-1.4969478
hJSge12li-E,SLAYED IT AS ALWAYS! REACTION,0,1.8431809,-1.591672
TwBPMtCMMrs,MEET THE DELEGATES,0,1.9077532,-1.9048979
l9v3ShXJz7k,4TH IMPACT DESPACITO,0,1.4208196,-0.7445512
pIDzPmE6DEM,PAULINE AGUPITAN I BELIEVE REACTION,0,1.9034438,-2.5404987
OhUslvK6utY,PHILIPPINES VLOG 04 TRYING JOLLIBEE FOR THE FIRST TIME WITH A RED HORSE HANGOVER,0,1.7971188,-2.1270528
WeRckF-RPZk,BUSINESS CLASS REVIEW,0,1.871233,-1.5422459
KPuSGay7OyI,PIECE OF CAKE,0,0.845398,-1.7229763
d1SaINo9yds,PLAYING IN THE RAIN,0,1.7779953,-0.95944434
0nSdV9DJwow,ON THE GROUND WITH U.S. FORCES IN THE PHILIPPINES,0,2.1749294,-1.4629081
rS_QqH2KwHc,ISABELA VINZON THE VOICE TEENS PHILIPPINES FEELING GOOD REACTION,0,1.9530795,-2.3366737
aW7yOQMKRFM,BRIGHT SIDE,0,1.7409766,-2.5177557
JM86Os2voBY,SOUTH CHINA SEA CONFRONTATION,0,1.6734378,-2.4742103
U8M3gShQxc0,PHILIPPINES VLOG 14 FIRST TIME IN TAGAYTAY,0,2.0102413,-2.0794518
dDm8iK13DZU,THEY'RE LEGIT!!! REACTION,0,1.9089028,-0.61449236
4tNSlxqrcLU,INDONESIANS TAKE ON BAWAL KUMANTA CHALLENGE BOYBAND EDITION,0,1.8696107,-2.6981623
wNyRfE6DvuU,SHE'S THE FUTURE! REACTION,0,2.2980928,-1.0355083
hrqp3z3F99g,CHICKEN SPRITE,0,1.7856171,-2.8745275
rNlDsVJo3fA,REGINE SHOULD GIVE THEM A SHOUTOUT,0,2.1566055,-2.1387203
7DkmB-btFfY,SEATTLE'S SALMON SINIGANG,0,1.5951985,-1.2769483
LPIAj0OTdEQ,PHILIPPINES CHINA OIL EXPLORATION DEAL,0,1.5175176,-1.7882396
ZzJmCEY8gjs,HAPPY BIRTHDAY,0,1.7000147,-1.6436137
rhDrsej92Is,INDONESIANS REACT TO LEA SALONGA & BRAD KANE A WHOLE NEW WORLD 1993,0,1.1080532,-1.5093821
O4Axx552n-U,MAKING FILIPINO FOOD FOR FILIPINOS,0,2.038489,-0.6043992
6ZFUrHoL2kU,WELL DAMN Trust your own self-control,0,0.56363314,-0.073097415
okgXJ5FJlxs,UNSTOPPABLE NO.1 AT WE ARE MID,0,1.9465461,-1.2553139
t9Kk_obFRhI,MISS UNIVERSE PRELIMINARY COMPETITION JAN 26 AT 6AM ET,0,1.4528303,-1.9908571
_yKjCCFDgl8,ABS CBN OFFICIAL WEBSITE WATCH MORE HERE! SUBSCRIBE NOW! STAR CINEMA FITCH LISHED 1892,0,1.3737789,-0.49404722
_q1Y1ndDXBc,utang na loob noun A sense of obligation to return a favour owed to someone. FILIPINOS REALLY CARE,0,1.2855359,-0.8748206
o6AG6-RJ25M,Dully D THE BEST EXPERIMENT REACTION,0,1.2824917,-1.7778752
6pj2j4_WAs4,MORISSETTE NARIRINIG MO BA REACTION,0,1.4350588,-2.6168587
sTUJYwhFanA,REGINE VELASQUEZ WHAT KIND OF FOOL AM I THE BEST LIVE SINGER IN THE WORLD EDITION,0,2.217924,-2.5715349
7lrZgWyWBIw,STRANGE FOODS OF ASIA,0,1.6954958,-2.2028708
uXpb9greH74,WHAT IT'S LIKE TO HAVE AN INDIAN FRIEND,0,1.9912266,-0.85021514
xWLlVyAxInc,JULIE ANNE SAN JOSE,0,1.3430678,-1.4050232
L0qXE_3zYnE,PHILIPPINES VLOG!!! LEAVING SEATTLE,0,1.9444299,-0.5850249
MDJ0I15UFt8,FILIPINO NURSES NEW YORK FRONTLINES,0,1.8393866,-1.5916682
ZMZkexcpGZY,MISS UNIVERSE CONFIDENTLY BEAUTIFUL,0,1.324268,-2.561636
3YVgNbkEJUE,PHILIPPINE ALL STAR REACTION,0,1.7745224,-1.7012535
83jKeR_W4fY,HELLO TO NEW NORMAL,0,2.0559285,-2.0253356
oLqhqPboxwo,PHILIPPINES SENDS FIGHTER JETS TO REEF,0,2.0562909,-2.3230066
VQxTkuiOixM,"THE KIDS FELL OUT Bohol, Philippines",0,1.6881856,-0.61646163
G_4kOyEUek8,FILIPINO CHEF WESLEY ALTUNA,0,1.636861,-1.449525
fjvkr71S6TU,PHILIPPINES VLOG 01 ARRIVED IN MANILA,0,1.8112762,-2.225714
HReZebELtow,REACTING TO JOLLIBEE VOW CRUSH,0,1.7393532,-1.6459697
DBySQYEbyDU,FILIPINO TRYING INDONESIAN NOODLES,0,1.7609782,-1.2907299
10AgA-pblVE,NORMAL DAY IN THE PH,0,1.5842998,-1.3283691
RnwhIxzL8p8,DATE NIGHT,0,1.715794,-2.8803897
ymWVQWHnhVc,JED MADELA THE CHAMELEON,0,1.9186758,-1.4386172
gYHzsqeObZw,PHILIPPINES PRESIDENT ON CHINA VISIT,0,1.7349502,-2.0917728
SgqiutNqx-M,ZEROHYPERGAMING,0,1.4524115,-2.2018707
ZazEtpjFri8,I'M FAMILIAR WITH MOST OF THEM,0,2.0916064,-0.76235455
aGGkzRhhNyc,EMOTIONAL DAY IN PHILIPPINES ME FLYING,0,1.9751853,-1.7270212
SW2Hg2NVBWM,THE DIVAS AND THE BIRIT QUEENS SHOWDOWN,0,1.9586439,-2.0883646
Uq5FRudopJU,CARL MALONE MONTECIDO I'LL NEVER GO REACTION,0,2.180903,-1.7169503
