Video ID,text_cleaned,cluster,x0_Bert-CLS,x1_Bert-CLS
ULuet4N8eoU,NATIONAL ANTHEM REACTION,3,1.0996163,-0.7693466
ruElibcApIE,10 CHRISTMAS TRADITIONS in the Philippines,3,-0.026020946,0.5874036
HUaC1mVw7oA,$20 PER DAY,3,0.34330535,0.47902083
u4VmYiULPBo,KIDS edition! 20 MILLION VIEWS,3,0.7497523,0.15682936
vSJ-MNUKzVU,GIORDANO,3,0.19726552,-0.20003392
9_7UvrHiy6k,TAGALOG SPANISH,3,0.51566833,-0.5114066
gqwRdGC87hY,UNREAL PHILIPPINES,3,1.1816449,-0.8706634
TN7lweGEmuk,ISIS HOME,3,0.97251385,-1.3400898
qFcd1RYcufE,NORA AUNOR AKO ANG IYONG INAY 1993,3,0.57822806,-0.14070126
ZfRf8dyBgBg,ENOUGH IS GOOD ENOUGH,3,0.83617216,0.31230196
jDtgVcVUTVs,UNEXPECTED EXOTIC FOOD,3,1.0464349,-1.0679418
LfPx5Ygzr9A,THIS IS CEBU CITY,3,1.1422116,0.006913328
gESc3obVL1c,BEST LIVE COLLABS USA & PHILIPPINES,3,0.49794897,-0.6428571
MfftS_h6sNQ,LIFE IN THE PHILIPPINES A black person's viewpoint,3,0.5238072,0.35143265
6ndkOSiGOe4,CEBU CITY,3,0.049177315,0.082227774
OusxeFragJU,PHILIPPINES Must See Destinations,3,-0.19092457,0.7687864
x7djETYCzu0,MEET DAVAOEA WOMEN,3,1.4011242,-0.7213287
YWAKuKOG4xU,DON'T FORGET 1989,3,0.12543337,0.8029308
QIlHrWat8S4,MANNY PACQUIAO FAN REACTIONS,3,0.17053588,-0.40036747
RanyrxILSDk,LOCAL EXPERIENCE,3,0.20581642,-0.26743805
PgLicTQr6dQ,PART 100 V383 IN RETIRING PARADISE,3,0.9095935,-1.4289433
Jsz4MSGM-08,CABIN Vacation TRAVEL VLOG,3,0.5928607,-1.2207985
YdUNrsq6eTE,IMPORTANT NEWS! PART 89,3,0.507265,0.50089204
7VN3Ck1ZGEs,BEST WIFI FOR THE PHILIPPINES PROVINCE?? PART 90,3,1.2651231,-0.32286334
gGlQ3dPGLOg,HOME SWEET HOME PART 1,3,0.58132094,-1.8500994
tYLFoUTJuGU,ASIAN BOSS,3,0.08953929,-0.104505554
JXxBmfyw6Xc,PILIPINAS,3,0.062091183,-0.89031404
Pr4zrQxkK6g,CHEF VS CHEF FUSION BATTLE,3,0.9545089,-1.2868623
2nb7W-iphsk,WALESKA & EFRA REACT TO ABS-CBN IKAW ANG LIWANAG AT LIGAYA,3,0.36934763,-0.30406204
K-mSi0GNWN8,J'AI DANS AUX PHILIPPINES,3,0.65942645,-1.1404434
ViKahoBCRcw,i will always love you TNT BOYS,3,0.5563321,-0.42936817
uu2B7zXLDO4,MYTHICAL RAP,3,0.9994052,-0.505125
NiKnEUWhdko,ASMR,3,-1.7470106,-0.31509346
FCoXHJNIUgs,DISASTER! PART 103,3,0.7259935,1.1726809
i3Y9xl9ckWU,Josiebee,3,-0.1251114,0.22842956
rxxIlxGqOvI,LATINOS REACT TO MALDITA PORQUE,3,0.93908805,-1.4016764
ujsu7-KV6pI,OUCH,3,-0.17439005,-0.29022375
OzQhTL5rEOI,Foreigners IN THE PHILIPPINES Q & A,3,0.076426364,-0.7415049
dSpW5Xc180Q,$1 FILIPINO BREAKFAST,3,-0.0026639535,0.5438555
UTMynEqCGoQ,PHILIPPINES meet the locals PART 06,3,0.61808956,0.20253593
ms0mFEOfiu8,PUERTO PRINCESA PHILIPPINES,3,0.94161093,-1.490228
AVRltPV1VQE,Reebok SPARTAN RACE,3,-0.23200276,0.053309552
8Zw4O3ZXdfQ,CORON PALAWAN,3,1.0237129,-1.1561359
nQ-4mPO_rug,PINK ISLAND VLOG 25,3,0.9632745,0.24033186
FO4wZcWiU_U,CHRISTMAS IN PH,3,0.9710804,-0.14297155
sCaAOkdjzkU,BANAUE PHILIPPINES,3,0.86615485,-0.7582391
aYc5vE28Big,the Voice KIDS,3,-0.8569004,0.31803158
a9ss9hxdc_g,URBAN LEGENDS,3,0.68807805,-0.64133865
C7JiTweF3xY,ODPOWIADAM NA WASZE PYTANIA YCIE NA FILIPINACH,3,0.095156625,-0.46736604
KWEY2yJfy_E,SCHOOL VLOG SANAOL,3,1.5082012,-0.33003587
Sjv1PS6UufI,SIQUIJOR,3,-1.0272067,0.6847399
WhqgEcnZCFI,BACK TO WORK! PART 108,3,0.2877071,0.53236824
lwno0Z10TDg,UNDER ARMOUR,3,0.7754853,-0.947186
XvUxJAtnxwQ,BOHOL,3,-0.66959274,-0.2412164
gT9mUbAE0lA,NO WAY Japanese Reaction,3,-0.20280379,0.7780826
9t6PWAbylh4,SAMPUNG TANONG INDONESIA,3,1.0579177,-0.3662164
