Video ID,text_cleaned,cluster,x0_Bert-CLS,x1_Bert-CLS
A0iUMPH-unU,LOVE!!,4,0.66391516,3.3995886
wAPoZqC0sZ8,The Most Epic Birthday Party EVER !!!,4,0.0016173852,3.4898355
dEFz7GwU7bc,I Need Therapy after Miss Universe VLOG 12 OMG!!,4,0.49317953,1.9902532
RVnVYl-vxfQ,Halo-Halo Redemption!,4,-0.35945457,2.8901644
O6OB9Qus36E,ADOBO LUMPIA!,4,1.1883916,3.0103664
-qh_ENBmkk0,Mangyan kami sa Train!,4,-0.21354918,3.768273
vORwmKzL5hQ,Filipino Meats?!,4,-0.12813625,4.198483
qhExsHgVipA,ouch!!,4,-0.71226406,3.0324442
so_eRNjImxE,SUCH PERFECTION!!!,4,1.1039716,2.7512295
IiXAxFQaF8w,PMA!,4,0.5215733,2.866103
saMh6aFwmTI,"SINULOG 2020 BIGGER, BETTER INSANE!!!",4,1.1527953,2.3458807
IavR6CqZpPQ,Thanks For watching! Watch Part 2!,4,0.13271081,2.6997643
EUghXA3e1ps,CRAZY GAME!!!!!,4,0.91278243,3.4912124
COsIm4yM4W4,LEGENDS!,4,1.2077154,2.3579586
4oYO8E_sZGE,TEARS!!!,4,0.8646815,3.1725562
d1HgbDeYGn0,LECHON!,4,0.9567204,2.8322875
eRSIdNqheV4,TEARS!!!,4,0.8646815,3.1725562
SEDnYrH_f9Y,SO CUTE!!,4,0.9724695,2.5835588
4rbQMsxQ5Eo,Korean Ginataang Gulay!,4,-0.42974538,3.3473465
QdPrDvufrZo,LAP TRIP!!!,4,0.6540515,3.7025084
qdw-RpmOO34,WHOA!!! NAILED IT!!!!!!!,4,1.0204641,2.510965
9SJDXgUpuEY,MASARAP PANCIT & PALABOK!,4,0.28307545,3.0194306
eohXqL9Vju8,MAHAL KITA!,4,1.0829765,2.6697035
1rDTRnOUuPc,MUSCLE STIMULATOR CHALLENGE!!!,4,1.3393488,1.5965624
RATU56d2Owo,BEST CHRISTMAS STATION!?!,4,1.0554813,2.1408129
Cu6Byq8yaUk,HOMECOMING!!!,4,0.80306643,3.1132956
8wlLXq47Cb8,WOW!,4,0.5742545,3.5845673
DSp3J_vFO3s,FAVORITE VERSION EVER!!!,4,1.3622216,1.796598
GfOtpM1aOoY,PROS!!,4,0.5930269,4.065867
0v2WtXVOa_w,WOW!,4,0.5742545,3.5845673
qw67u_GFn6k,I like this !!,4,0.34213656,2.3599792
4Jv38UQoLs0,NOOOO!!!,4,0.885968,3.2539015
V3K1fBAlNg8,"PILAR, BOHOL DAGHAN ZBIG!!!",4,1.0851526,2.5095632
