Video ID,text_cleaned,cluster,x0_Bert-CLS,x1_Bert-CLS
Jk3iWaFsSCo,AILA SANTOS,5,1.5710171,0.1853039
X4HpxvL2dno,TUBA PONG,5,-0.08565987,0.2864863
dADxYaNDATs,KOREANS REACT,5,0.18510668,-0.75078404
qZYbcytahDw,PATA HAMONADO,5,0.9379104,-1.2793965
7awq7hypyBE,AMAZING! REACTION,5,1.8983588,0.13702549
0CcaNf_2SlM,WORST BEST AUDITIONS 2018 REACTION,5,0.4189405,-0.59356606
ZadqGNSQwZU,ALJAZEERA,5,0.53267086,-0.043140158
hTEgizPaodA,MAPA AT GRADUATION,5,0.99645436,-1.7586337
lAMofPlgUAM,MY KPOP CRUSH,5,0.61883503,-0.3003103
DeznyTvQELw,ALJAZEERA,5,0.53267086,-0.043140158
pm4qMsyVH_E,BEAUTIFUL! REACTION,5,1.6686691,0.50899273
hqMU7Bs2BUY,ALJAZEERA,5,0.53267086,-0.043140158
A-jW_nfBEq4,KYLA,5,0.73501736,-0.4668633
yiH8RG1R0m8,EXTRA ENERGY LIPOVITAN Energy Drink GETS YOU GOING XL 150 Cobra ENERGY DRINK STING STRAWBERRY FLAVOR Cobra ENERGY DRINK BERRY BLAST EXTRAJOSS MAXX ENERGY DRINK,5,0.89253896,-0.838686
FQCCke5oRJ0,ALJAZEERA,5,0.53267086,-0.043140158
CCz3OhmkIqo,LIZQUEN EX AND WHYS! REACTION,5,1.0289955,-0.79799485
TUpXtj39D6s,ADORABLE! HKTV REACTION,5,1.0656788,0.8658927
f02_px8Pjm4,DESPACITO FEAT. JUSTIN BIEBER AUDIO REACTION,5,1.6384072,-1.1446319
8O_xQqnhio0,AWESOME & UNIQUE VIBRATO,5,-0.037811212,0.14174324
k6SFj_30puc,APERTURE,5,0.24250059,-1.4684536
G1LanThBS9Y,TOUCHING MV,5,1.2071867,1.0107706
Xm7kzBzXNzQ,Panlasang Pinoy WHAT'S FOR Noche Buena? LUMPIA,5,0.3660106,1.3247354
ltjkKrv-oJc,UNCHAINED! REACTION,5,1.977397,0.015858775
