Cluster,Total_Videos,Unique_Channels,Weighted_Mean_x0_Bert-CLS,Weighted_Mean_x1_Bert-CLS,Weighted_Mean_View Count,Weighted_Mean_Like Count,Weighted_Mean_Comment Count
0,258,131,-6.414153600000001,-1.595281653741053,1118970.3242774063,23873.00896778553,2050.6438021027684
1,557,228,1.1827171028471255,1.4407958156964331,285303.8362262239,8053.659620756995,613.3967853655877
2,831,316,1.6726404319187975,-1.4594289938184195,504143.67319494986,10909.330855800594,1273.772369352469
3,442,236,0.42336970568142146,-0.3289116062816748,363205.2852631898,8575.015571500415,807.6441644916929
4,480,261,-1.285795228956837,2.011487692048933,354652.75981991214,6600.655357583326,495.9670337687407
