Cluster,Total_Videos,Unique_Channels,Weighted_Avg_Views,Avg_Channel_Weight
0,258,131,1118970.3242774063,0.0007983430421560306
1,557,228,285303.8362262239,0.0006374137228834521
2,831,316,504143.67319494986,0.0006694322396727996
3,442,236,363205.2852631898,0.0007647297981046374
4,480,261,354652.75981991214,0.0009286843228996237
