VideoID,Yellow,Orange,Red,Violet,Blue,Green,Black,White,Brown,Cluster
0SlWsnwIWN4.jpg,0.47,0.91,2.2,8.22,0.01,0.0,32.97,22.09,33.13,1
0UDH4y28YVQ.jpg,5.6,2.35,0.0,18.62,37.43,0.0,5.81,15.99,14.2,3
0UFz5YQk8o0.jpg,0.0,5.31,0.0,22.91,0.0,0.0,18.86,7.44,45.48,1
0uJu9JkxNwI.jpg,0.1,16.18,0.24,9.59,0.0,0.0,25.26,8.3,40.33,0
0yqdgfLWhpM.jpg,1.69,5.11,0.0,10.96,1.93,0.27,41.38,1.83,36.83,6
0zkiGw4F5Pw.jpg,0.0,2.39,0.0,40.8,0.0,0.0,20.04,0.56,36.21,7
0zyiBgLpoeE.jpg,0.0,6.19,0.27,16.49,2.55,0.0,7.39,24.42,42.69,1
0z_UIEHwskI.jpg,8.43,7.65,1.29,18.44,1.81,0.23,18.65,8.01,35.49,8
0_6HMZjStiQ.jpg,1.73,4.01,0.0,20.86,2.49,0.0,12.74,6.23,51.94,1
0_pTnqziRqo.jpg,0.39,2.51,1.24,21.48,0.89,0.0,23.63,1.44,48.42,1
1-4pxMY9rq8.jpg,0.0,0.0,0.0,7.77,6.75,0.0,42.69,0.36,42.43,6
1-b2aT0of_Y.jpg,0.39,2.78,0.18,10.13,0.16,0.0,60.26,1.89,24.21,6
1-m9KLTaeaI.jpg,1.4,4.47,0.3,9.33,2.15,5.52,37.28,9.74,29.81,6
12cGM8Quszs.jpg,1.82,10.79,3.17,15.64,1.22,0.0,29.15,11.27,26.94,0
12t-wjHSq5c.jpg,0.29,5.77,1.96,20.72,8.97,0.69,6.84,22.73,32.03,2
13wZEXCrprY.jpg,0.01,0.12,0.0,4.35,0.0,0.0,60.27,2.82,32.43,6
15O6Q7JINkE.jpg,2.21,2.09,0.0,23.1,2.33,0.0,36.89,11.97,21.41,6
160z2kH-pfQ.jpg,0.0,2.19,0.0,16.62,0.29,0.0,24.2,3.45,53.25,1
16GQKjDDrXM.jpg,0.0,12.15,0.0,56.55,3.77,0.0,10.07,3.52,13.94,7
17JEASUW0zI.jpg,0.01,1.01,0.0,22.89,0.0,0.0,15.11,8.25,52.73,1
18Iluqov9Xk.jpg,0.1,1.38,0.0,60.34,0.0,0.0,7.54,7.05,23.59,7
18oXZbC_RYI.jpg,0.0,1.16,0.0,29.38,4.62,0.0,16.82,21.93,26.09,7
196oXdYgBEs.jpg,0.0,0.72,2.01,3.25,2.41,0.0,45.17,0.57,45.87,6
1aZ4UYjlHEA.jpg,0.13,0.21,0.0,20.28,0.12,0.33,38.81,22.54,17.58,6
1C753eMNsKg.jpg,1.89,2.03,0.0,24.53,0.15,0.0,19.57,6.76,45.07,1
1Ccsgr9T69Q.jpg,0.07,0.17,0.0,28.16,12.62,0.0,6.22,33.11,19.65,2
1D9m0RkEwTg.jpg,3.33,8.22,0.0,21.42,4.88,0.0,20.25,12.38,29.52,0
1e0Aed3Xx2c.jpg,0.0,4.55,2.31,14.62,0.13,0.0,50.58,0.97,26.84,6
1FJE4khqN8c.jpg,3.14,10.94,2.12,23.83,0.76,0.0,18.02,15.64,25.55,0
1GHM1QQDSrI.jpg,1.89,18.06,1.19,5.64,0.84,0.0,28.74,1.31,42.33,0
1HEOo6a91yY.jpg,0.17,2.63,5.77,14.18,7.31,0.0,9.21,14.91,45.82,1
1kErCqgIVMk.jpg,0.0,0.08,0.0,29.38,13.6,0.0,15.15,9.34,32.45,7
1Kgct3YJoJU.jpg,0.0,4.94,0.0,26.8,0.01,0.0,10.34,9.04,48.87,1
1MCRXw7u1qs.jpg,7.02,3.48,0.0,11.08,10.9,5.87,25.29,8.46,27.9,8
1o_Zw6LbLnU.jpg,3.91,3.16,0.0,17.23,2.27,0.06,34.94,2.65,35.78,1
1qa9wW9Qghs.jpg,0.0,1.49,0.0,14.14,1.15,1.99,13.75,19.76,47.72,1
1qe4A4gGhIA.jpg,12.29,3.08,0.0,28.26,4.03,0.05,7.74,22.58,21.97,8
1QHRFZwKSMw.jpg,0.0,0.17,0.02,20.9,0.91,0.11,37.34,4.75,35.8,1
1qvAJGZYr3E.jpg,0.0,0.5,0.0,33.47,0.0,0.0,20.4,6.96,38.67,7
1REnqKrSTls.jpg,0.0,0.87,0.0,19.55,1.01,0.08,29.21,15.71,33.57,1
1rlXGI3NnTU.jpg,0.06,5.16,1.71,21.61,1.76,0.0,22.16,15.6,31.94,7
1Ucsm6J24Us.jpg,4.78,3.02,1.47,35.06,0.0,0.0,9.94,11.77,33.96,7
1yG9Kki_BNg.jpg,0.04,6.38,0.0,16.52,0.96,0.0,39.88,1.52,34.7,6
1YXmTTKljwk.jpg,0.0,0.41,0.04,21.09,30.66,0.04,7.97,25.1,14.69,3
20SwObTtOB8.jpg,0.0,1.54,0.14,5.23,0.22,0.08,68.92,1.13,22.74,6
227xidPFDng.jpg,0.08,2.32,1.7,23.42,0.02,0.01,25.5,4.25,42.7,1
23cDngtz2Mo.jpg,0.02,1.49,0.0,18.02,6.95,0.0,30.21,13.59,29.72,1
23GlZtU6eVY.jpg,0.0,0.0,0.0,36.09,0.3,0.01,27.29,10.41,25.9,7
23GYjckuz9E.jpg,2.58,2.42,1.77,5.18,0.0,0.24,29.79,2.34,55.68,1
23L8K7nOG_c.jpg,0.0,0.0,0.0,18.23,0.02,0.0,64.63,10.02,7.1,6
255FPlIIomg.jpg,2.79,4.23,0.28,35.99,0.9,0.0,20.43,12.73,22.65,7
27DfJdlizR8.jpg,0.0,0.07,0.0,26.39,0.33,0.0,19.23,14.01,39.97,7
27yofdZnH9s.jpg,0.0,1.54,0.0,22.57,0.0,0.0,33.82,2.59,39.48,1
28K1KJwvuBI.jpg,0.0,1.53,0.0,2.38,0.0,0.0,83.01,0.42,12.66,6
2cj-ZOqXn0s.jpg,3.43,1.29,2.95,36.1,0.46,0.0,27.65,11.64,16.48,7
2CLpCOnn-tk.jpg,0.0,6.16,0.0,28.29,0.0,0.0,8.35,9.3,47.9,1
2cSj4R5OqN0.jpg,0.0,2.1,0.02,27.16,0.0,0.0,13.56,18.27,38.89,7
2cXlM4qr8Lw.jpg,1.73,2.45,0.49,25.14,0.54,0.0,9.57,22.94,37.14,7
2DBEblhgaJk.jpg,0.01,1.16,1.43,13.9,5.09,20.42,23.82,4.65,29.52,5
2DIqmd6yQBY.jpg,0.0,0.04,0.0,11.35,0.02,2.7,31.11,18.05,36.73,1
2D_v3mrBmGI.jpg,3.1,7.61,2.4,18.04,3.67,0.0,25.4,12.39,27.39,0
2E-52BubRvM.jpg,0.92,7.31,4.95,18.19,0.0,0.07,32.23,15.75,20.58,0
2Emt_xXktmI.jpg,2.33,4.32,0.0,16.32,0.0,0.42,14.9,37.04,24.67,2
2FHnLyeuvt0.jpg,0.08,5.21,0.03,32.93,0.15,0.0,7.66,32.71,21.23,2
2ftG8JuMzz4.jpg,0.0,0.23,0.0,2.74,0.0,0.0,39.59,6.89,50.55,1
2g3Gu9cA_AU.jpg,0.0,0.0,0.0,34.58,0.0,0.0,0.05,11.14,54.23,7
2G4w9gH8iEs.jpg,0.0,0.74,1.21,24.02,0.27,1.12,22.64,9.96,40.04,1
2g63ty8ySoM.jpg,0.23,2.68,0.01,19.0,1.22,0.0,0.0,75.3,1.56,2
2gDO3w-Zv5Q.jpg,0.36,3.01,0.0,21.31,14.5,0.0,23.5,13.65,23.67,3
2GS8wQxCC9M.jpg,0.0,0.65,0.0,29.49,3.07,0.0,32.28,6.03,28.48,7
2HpGUdqGwdc.jpg,0.0,1.5,0.0,17.21,0.0,0.0,39.14,5.66,36.49,1
2IhEU5rzUOE.jpg,0.0,9.21,0.0,28.28,14.36,0.0,13.63,11.86,22.66,7
2iPplpNHjTQ.jpg,0.0,0.0,0.0,11.53,1.14,0.0,15.37,64.45,7.51,2
2JF7m9fNMBo.jpg,0.0,1.08,0.05,14.49,0.0,0.0,33.05,42.81,8.52,2
2j_1TomiT9Q.jpg,0.65,5.68,0.5,16.86,8.14,0.0,21.86,17.85,28.46,1
2l94S4_jMTY.jpg,3.99,7.11,0.93,11.48,0.39,0.0,24.26,7.43,44.41,1
2lXdrSXl9Io.jpg,0.16,5.57,0.0,22.7,1.11,0.0,7.31,6.71,56.44,1
2MJvug6QOgA.jpg,0.75,1.34,0.0,16.84,1.12,0.0,39.07,16.88,24.0,6
2n67uXYSG5c.jpg,0.28,2.31,0.0,18.97,0.06,0.55,8.64,7.0,62.19,1
2nb7W-iphsk.jpg,0.04,1.97,0.0,17.64,0.03,0.0,32.79,7.88,39.65,1
2ncOVB0wTtc.jpg,0.11,2.27,0.0,20.38,0.64,0.97,30.2,15.73,29.7,1
2Ol8aJTPEl4.jpg,0.58,8.69,1.28,51.92,1.67,0.1,4.55,12.04,19.17,7
2OT5Pcl4iF0.jpg,1.46,4.69,0.19,26.61,1.39,0.0,13.04,8.16,44.46,1
2pGWzr7QXtU.jpg,0.31,5.97,0.0,11.74,0.0,0.0,24.13,14.5,43.35,1
2Pn0MNwUjM0.jpg,0.0,1.86,0.0,10.19,0.08,0.0,32.38,1.71,53.78,1
2qgmxrekr0g.jpg,0.28,0.97,0.0,17.43,5.23,0.16,42.09,5.55,28.29,6
2qqc_Mx3zuI.jpg,0.18,25.86,0.0,12.94,6.66,1.99,5.53,5.11,41.73,0
2S4TBBvNJ7E.jpg,0.15,0.1,0.0,7.24,53.97,28.0,6.69,2.96,0.89,5
2sb7GzhpLBQ.jpg,0.0,0.0,0.0,13.56,0.0,0.0,38.77,5.1,42.57,1
2shoun41cW0.jpg,0.0,4.47,0.42,25.43,0.0,0.0,7.89,26.26,35.53,2
2sZh5FtJRb8.jpg,0.0,0.0,0.23,35.7,0.0,0.0,19.72,9.62,34.73,7
2TETrMU1Q3I.jpg,0.42,5.04,0.0,24.88,13.18,0.0,16.4,6.72,33.36,7
2TghJw4IZZ0.jpg,0.11,2.56,0.1,17.2,0.04,0.0,50.33,2.06,27.6,6
2TkGKRUcH9M.jpg,0.05,0.47,0.0,16.78,0.33,0.0,30.76,2.41,49.2,1
2TmagN6RhkI.jpg,0.0,2.36,0.0,24.62,0.0,0.0,21.13,30.85,21.04,2
2v29gYhPgkI.jpg,0.06,8.91,0.0,20.72,2.95,0.29,14.35,4.36,48.36,1
2w7MEv0-yMs.jpg,0.85,15.56,0.0,3.94,0.15,0.0,19.72,10.83,48.95,0
2xD1WA0YVUE.jpg,0.0,0.0,0.0,21.52,0.0,0.0,41.17,1.41,35.9,6
2xLHVJNTjn4.jpg,0.34,1.2,0.0,24.37,0.13,10.13,16.89,21.37,25.57,5
2xzBWVrG27M.jpg,0.11,0.51,6.18,21.92,2.58,0.0,9.4,28.19,31.11,2
2Y5LjRWFfkk.jpg,10.37,9.99,3.47,9.75,1.77,0.24,28.01,9.24,27.16,8
30f7VYKKd2s.jpg,3.35,2.41,0.37,48.74,0.82,0.0,17.58,0.37,26.36,7
30NXj6O44r8.jpg,0.22,12.77,4.36,14.72,4.77,0.0,17.1,4.31,41.75,0
32nRdJOPP-4.jpg,0.01,2.36,0.0,8.12,5.07,0.01,14.29,7.64,62.5,1
33Q14vlsZqo.jpg,0.0,0.0,0.0,14.38,8.42,0.0,31.84,4.81,40.55,1
34VMEMaI3vw.jpg,0.08,1.39,0.37,18.01,0.92,0.0,23.45,16.33,39.45,1
35THbgakNBk.jpg,2.14,7.98,0.0,9.66,1.81,0.0,28.4,6.89,43.12,1
37rYKJfsYmo.jpg,0.04,1.27,2.78,26.89,1.02,0.0,10.29,29.02,28.69,2
39s28fwxQfM.jpg,1.56,9.22,4.01,18.4,5.36,0.0,26.78,14.63,20.04,0
3B3unElpNwQ.jpg,1.91,8.65,0.0,34.05,0.0,0.0,9.42,22.91,23.06,7
3b6lSIIqnUs.jpg,0.0,0.02,0.0,2.47,4.51,0.0,44.16,0.17,48.67,6
3bZp6Tauo5c.jpg,0.0,11.51,3.76,9.17,53.2,0.0,9.13,0.88,12.35,3
3DJpy-yikrc.jpg,0.0,4.28,6.28,32.56,0.15,0.0,6.84,14.04,35.85,7
3DUQ5TCoQyk.jpg,0.08,6.05,0.0,40.39,1.15,0.0,14.64,4.01,33.68,7
3eWmsTsgWkQ.jpg,0.33,2.2,0.47,15.93,0.66,0.0,35.63,6.39,38.39,1
3F0lW3HehjE.jpg,3.47,21.28,0.0,4.75,0.0,0.48,12.36,6.57,51.09,0
3fPIsGv3eik.jpg,1.71,17.86,0.66,13.88,18.68,0.0,3.39,14.69,29.13,0
3GfHcEvWfIo.jpg,4.69,1.94,4.12,12.67,4.75,0.0,28.85,3.41,39.57,1
3GkauoR2xgE.jpg,0.0,0.42,0.0,26.91,0.07,0.0,17.52,21.7,33.38,7
3gXTOa6Zskw.jpg,0.32,16.72,0.0,2.74,3.43,0.0,18.45,4.96,53.38,0
3hc7N_uOHdw.jpg,1.46,7.27,5.73,10.36,6.27,0.0,25.94,16.71,26.26,0
3kftPeWMvLk.jpg,0.01,1.82,0.11,40.1,0.59,0.0,5.77,30.67,20.93,2
3ksZkJHTlOc.jpg,0.0,0.07,0.07,7.75,2.82,0.0,55.73,1.61,31.95,6
3Lz2ntvDBFQ.jpg,0.02,5.77,0.08,25.06,7.26,0.0,17.59,4.06,40.16,1
3n1nspLgfd4.jpg,0.04,0.55,0.0,24.13,0.19,0.01,13.63,15.2,46.25,1
3NHSsHi3h0M.jpg,0.0,0.06,0.0,26.74,1.12,0.0,22.24,20.68,29.16,7
3oTOIi8ysLo.jpg,0.18,3.95,0.01,30.54,0.36,0.0,26.45,1.93,36.58,7
3PKGOy6PoiQ.jpg,0.0,0.0,0.0,30.79,17.71,0.0,25.63,12.16,13.71,3
3QFkmOO9Tl8.jpg,0.02,2.75,0.16,17.14,0.67,0.06,13.92,15.9,49.38,1
3Qfr55KRGgE.jpg,0.4,1.39,0.29,32.51,11.96,0.0,9.72,19.18,24.55,7
3rKffuFJYNk.jpg,0.61,5.56,1.26,29.66,0.88,0.74,15.9,20.13,25.26,7
3rRNKYvoDsQ.jpg,0.02,3.69,0.0,20.88,7.85,0.0,19.55,4.75,43.26,1
3sNSRgq-4l8.jpg,1.1,3.49,0.0,15.95,0.0,0.0,16.01,5.05,58.4,1
3sVrbsvXWQ0.jpg,0.01,1.58,0.0,17.79,0.91,0.0,19.38,8.42,51.91,1
3tdQO7zvmcA.jpg,0.12,0.56,3.38,38.13,1.35,0.0,11.05,6.79,38.62,7
