VideoID,Yellow,Orange,Red,Violet,Blue,Green,Black,White,Brown,Cluster,colorfulness,brightness,saturation
eQgF7_x5fmY.jpg,2.43,5.29,0.0,24.16,0.35,0.0,9.29,27.05,31.43,2,59.46241621620223,134.38243874631775,0.34303539991378784
eqqVFOvtOcs.jpg,10.15,14.13,1.46,7.83,0.37,0.0,24.7,8.41,32.95,8,107.22432884387403,104.92553099407593,0.5908326506614685
erI3UulSmSw.jpg,0.0,5.73,5.07,21.79,1.54,0.06,27.31,4.23,34.27,1,96.8751887826644,92.96977071843806,0.4077301323413849
eSjAFI-wdic.jpg,0.2,2.18,1.37,15.56,10.0,12.52,21.98,16.77,19.42,5,99.90035212706923,109.77456543223028,0.5320978760719299
Es_qxnq5jzg.jpg,0.0,0.29,0.0,8.57,0.0,0.0,68.92,2.22,20.0,6,26.052947844222636,51.34888458841998,0.33531850576400757
ETQScTYYQRU.jpg,1.29,10.13,0.0,2.23,0.0,0.0,38.83,4.53,42.99,1,73.08628925695987,72.58951102642982,0.7447644472122192
eTx-r4ZI0Q0.jpg,0.79,8.99,0.02,30.53,2.22,1.02,14.67,8.28,33.48,7,69.5990159954379,116.30797112892382,0.342250794172287
EUFTHTVyrEk.jpg,0.0,0.18,0.0,8.08,0.0,0.0,71.48,0.1,20.16,6,38.61085282364113,49.58122289315099,0.2927897870540619
EUkFRzflw20.jpg,1.55,11.34,1.19,27.56,8.66,0.0,15.9,14.62,19.18,0,90.14505887942639,117.17085191724057,0.5080735087394714
eUmMxxACvLU.jpg,0.42,5.99,0.0,18.74,0.86,0.0,27.07,4.6,42.32,1,66.550554558525,90.48203193584612,0.3572252094745636
EUnaQzzjaas.jpg,0.0,0.0,0.0,19.43,0.05,0.0,1.9,14.96,63.66,1,76.98412764888813,130.42507910737265,0.41135361790657043
euOfRk3mInE.jpg,0.59,11.82,0.0,12.84,0.32,0.0,27.72,13.22,33.49,0,67.9878451140014,101.13065052399146,0.31351426243782043
EUscV0NKT5A.jpg,0.8,1.84,1.43,22.21,1.83,0.0,18.88,13.73,39.28,1,67.51768923777207,107.6351080215809,0.32037627696990967
eUxW9-M-cHU.jpg,0.95,4.67,0.29,18.72,2.95,0.05,21.1,24.37,26.9,2,72.531827756308,115.66293963087152,0.38135895133018494
Ev5dUwAQz7M.jpg,4.68,14.12,5.65,8.51,1.51,0.0,17.83,8.67,39.03,0,115.66492896983439,106.3173193424459,0.6466953158378601
ev6GL49Qcgo.jpg,0.75,3.87,0.08,18.36,6.85,0.0,9.29,33.67,27.13,2,75.78041294307657,137.55650864650045,0.286105751991272
