Cluster,Total_Videos,Unique_Channels,Weighted_Avg_Views,Avg_Channel_Weight
0,261,131,421951.445351253,0.0006050130461980291
1,829,354,378511.7133153789,0.0007267976553245921
2,276,164,566844.5276704918,0.0008112718683484614
3,109,77,258470.6136599812,0.0007938561022594538
4,37,23,159583.6253978677,0.0006805975995579261
5,94,38,400117.08734517824,0.00047836183446091547
6,327,196,695437.6245720247,0.0009138042797025461
7,520,263,542423.5670684536,0.0007463486974326537
8,115,64,119962.17621057344,0.0006361802396660359
