VideoID,cluster
2KMPO_X70aM.jpg,8
z4o7B7EqlyA.jpg,1
h5HvB2tun4Y.jpg,7
los0jDQ1JgQ.jpg,2
YZfG-QIjvt0.jpg,8
ChjJi3WLk4g.jpg,4
T5dMinwE5Dk.jpg,2
dywzVZSEC1o.jpg,7
BUbieeQkJhg.jpg,4
oEnVBNnNBYA.jpg,2
m0Ev68n4qZk.jpg,3
6C9s8-jVXqo.jpg,0
M8qo6HWcSTQ.jpg,0
Ipj_i8_V3LQ.jpg,1
NUqTE93xw7w.jpg,0
Dn2IQNvbbrs.jpg,0
9AYywOvLYb0.jpg,7
fhjrkzUSTf4.jpg,8
yxtTlPJ9STo.jpg,1
hSrg1_g5Abo.jpg,7
_GT_jJZhO-A.jpg,1
x53G1rAn4b4.jpg,8
YWzVVexJxkY.jpg,4
iNALxHVieYg.jpg,7
fVN0oIQd-P8.jpg,4
RVnVYl-vxfQ.jpg,4
3DeWMKDjlmE.jpg,1
Bg14LKTUfCg.jpg,4
TuLGJKti1RE.jpg,7
luRIER1mGNM.jpg,3
FZUy0NrBuIw.jpg,7
CWGPc88lYFg.jpg,4
X3w2ezboqPg.jpg,7
38JwqKI3dsw.jpg,2
mERBc57aqTU.jpg,1
uKySDFpH-xU.jpg,4
Iz82xzqimBo.jpg,0
mYua7XLdkHY.jpg,1
x7-NWS85q7w.jpg,7
eAiHPIo1BN8.jpg,3
Gov6lYBEPBg.jpg,0
3Cda8dnTx2E.jpg,0
k4w_63-AP0s.jpg,8
h74m7nB1GO4.jpg,8
ySAKr4iPUDU.jpg,0
cbk9khFNf8g.jpg,8
Q0br4Ujitu0.jpg,1
33Q14vlsZqo.jpg,8
fL56kvqw9K4.jpg,1
O6w63JKzcnI.jpg,8
5fOTfDE1zG4.jpg,7
pGEfE1qkY2E.jpg,3
TPmCMiY6qWs.jpg,8
NrQnfWDQHCk.jpg,8
RnwhIxzL8p8.jpg,1
lxCfT44UssE.jpg,3
gCqIByfAlyY.jpg,3
HX6BFryw5sw.jpg,0
pe4dwAGhOcU.jpg,8
-GE8hSBKfRo.jpg,8
wD9lqcEvhgw.jpg,7
PfQt-5yf_fA.jpg,0
sggwtsSkVSw.jpg,8
koifioklSvM.jpg,3
YliHyU4vqfw.jpg,5
laJP2x0foJE.jpg,7
fihPcrzVnCY.jpg,8
wVTlSmOpMkM.jpg,8
i6iGPDiH3AA.jpg,8
ON4hjfzb_5s.jpg,3
iR6h2b8PFKY.jpg,4
Ygp_1WjGneU.jpg,4
WCMZwBu9y7M.jpg,7
rm4o8naNWgw.jpg,4
chrmFfxAkGo.jpg,1
a-syc1wfO8o.jpg,4
jJo9bBWithA.jpg,0
RDREmiYYJiY.jpg,0
Wtv3kgAAw5Q.jpg,0
NQcdVjnybD0.jpg,8
tKfpTf3MqE4.jpg,4
anowH9Urdog.jpg,8
DVVdQSiJX6g.jpg,4
1bhGyLyfxww.jpg,1
X5ksGwjLlnM.jpg,1
E2pF2yqxQo4.jpg,6
_usRIH-5sew.jpg,4
M0cMYrofJtY.jpg,8
VIc9ZEfCp1s.jpg,0
nDG6AXKLQgU.jpg,8
RXo1P47Lrf8.jpg,1
cXvsI51yuH8.jpg,4
6k3tbPQbh10.jpg,7
Mp-yqdfa3K8.jpg,0
ClPKuIYDIqc.jpg,4
CD4lt_OQdbI.jpg,1
ToA3YTdKSaA.jpg,7
ZkeHGYCybAs.jpg,1
G8gvUb0arjw.jpg,3
b7HQU_--Qdw.jpg,4
wCHZ07t1APo.jpg,4
FdjQjE6bD_E.jpg,7
uO3hlDiOBpQ.jpg,8
mv6aVF8mvpE.jpg,1
mRiX5jv40LA.jpg,6
uVOLM-GcZsQ.jpg,0
flWyIQJ13_Y.jpg,1
Jl_tJCXHBxw.jpg,7
1T6MRWydVog.jpg,2
