Video ID,View Count,Like Count,Comment Count
WcB-n46QVy8,13681,326,29
Uke_7qrqEEs,43170,2009,311
w2yE02L6-mY,199890,8858,154
RfuEvFx45yE,58009,2688,361
yEWMbejOwsQ,210983,11198,702
unTM04ne7wk,113427,6608,936
zq-W9pHRXjM,55009,2811,674
jeyDC8xrwt4,94281,4132,91
XvOrMZISbP0,45386,1953,210
YlLzEVcyako,80787,3056,489
L5xQrb794aE,71419,3509,323
ZdE0tgrqXuI,183565,4983,198
zk-3GgEdXFA,41395,2136,115
01KAy1vxr8E,58801,2283,56
GqDnZ8sjulk,167541,6886,443
pCpGYiXBENo,90853,4085,295
kiTQxiSc-0A,35955,1745,134
Cl5L9va2pco,84930,2665,95
A2syNVDncMk,61364,2017,65
PvA4IHQh4wI,143822,4255,112
lbqWJwgrTu8,31181,1102,98
UrXeU489jX4,67200,3169,229
yTx5ZHw-Bgg,93804,2825,61
-uihp4i1xNk,155616,3956,99
fL56kvqw9K4,56541,1905,94
KUWHXdT39Rg,354594,9013,277
nqz1BBMWWMQ,56905,1492,99
y0H91m4QQgk,103916,3280,85
3DeWMKDjlmE,38126,1299,84
12cGM8Quszs,143251,5776,168
BFndAL9KPc0,43911,1967,93
IFCqt11SgoE,95103,5029,240
__Pyj4s_HHw,19185,662,56
lqjcBOHN7EI,31581,1271,38
UtPSGNu07dU,91672,3645,113
JyespbKFTZE,25376,1325,154
1FJE4khqN8c,148977,5908,505
gbH45swTZE8,22402,908,40
v7zw8jgoPSQ,28151,910,27
SmsG86qqVg0,8902,484,18
5h6dPOq20kc,18982,834,34
mtzp34Sr5pQ,70959,2619,251
NAzpzBI0u-g,33176,2190,127
SiiYQYaNG_k,44492,2112,105
21Njjpa0gMk,11150,496,66
VqrMzXJcNoM,148852,5342,202
R92VbLZ4DkI,45491,1993,129
jpoYjOLsqag,89718,2883,237
uxDDikET8vo,33111,1108,77
yJLjLxnvD7k,21863,796,47
UiZns0bGEPA,246644,5284,143
EjhY-9GfWuo,54308,1747,181
Pl5BzYCVwIA,403266,11687,1337
10AgA-pblVE,30721,1293,33
T_jNu2qUSMs,94018,3391,139
zxplORm2L2k,72904,2856,151
NF5KbSs8-c8,21797,793,84
TxH11V_I7jk,43974,1093,67
NnaW8-F3VwM,348130,5809,1070
ngMwK3xf6uc,94087,5835,270
7LGKv4A_mx4,284476,4939,251
YKKSLVcdxhE,150261,2955,154
7xmCVS-LMIM,403284,7865,1021
rm4o8naNWgw,155309,3996,312
2s9FCoxOsh0,11583,211,41
qbI0zXt89II,304190,8011,1193
G1LanThBS9Y,29047,1171,179
ymWVQWHnhVc,132611,5059,438
u613qKsE5m8,30810,1511,102
ItbHw7WWijI,69697,4077,2156
Q7ugYdD2Pb0,15982,1061,62
6198lr4fKuo,22907,1132,61
Q94-FOJgEP8,67324,2240,94
GfOtpM1aOoY,31207,1049,25
XCL_Ji0SNgc,120505,4290,294
vqxETnhMOWA,32854,1293,188
VdDOYk0nW3o,17704,841,34
YwLkZXeGCDI,25610,1267,74
S6c2wgnqZW8,11400,698,56
3uSIf529AOg,146935,5879,347
Te1FNOb7o7s,29681,1011,25
NTAnGrxuP0g,65993,2315,61
RUtEnXAwbpo,27757,1416,29
r_RcA0UOo0w,24327,939,33
RXrKUTh81oU,20991,1209,82
PfQt-5yf_fA,165003,8134,448
F7ptNozujxE,24805,1238,108
oRvmrG65WQI,273647,4008,177
Cs9YEDrJKfc,58420,1012,193
WnIUPlRMIiQ,396303,7474,254
yvbZcVUqe9A,650270,9995,602
WlMMfVd9h4E,319267,4860,285
f_YMgrAJUbs,357884,6855,602
wi2BBQ9rnSQ,341628,5897,560
Q1s9tufujfc,414483,9120,357
V9zh9s7ybSI,1748449,30848,1943
5cdW8xXU9ts,96411,2477,405
PCYF_tXNFtQ,153264,4136,600
-d0IuFXS8Ws,110045,3852,345
yTG6XvLKpD0,323667,8632,772
fmC54-UOh8w,117907,5025,1101
JfCJfOmp_eA,259727,7793,553
5PzhnVq0heY,271686,9629,724
DBTDf1kaquM,184262,4825,857
mlG8qLNmUrQ,244948,8669,1175
yxtTlPJ9STo,153477,5516,594
FZUy0NrBuIw,202191,6677,453
VdHyQ_3MY4Q,302642,9122,343
tavAZ2raoaE,212190,6749,2912
YXbfgc41mhY,65600,2922,345
_q1Y1ndDXBc,243815,9824,693
UYpa6g08XTE,142643,4479,1506
Nl0CNnXWyTI,86923,3435,549
PUGPBhtMTNk,199698,6493,823
GOg5lJ52tCA,1084632,56836,7152
p50sJ4tVusc,171694,9549,1240
QM4HHt-vEio,208198,7131,469
YndbAJDipdg,130207,5497,410
14aJzjoWpZU,290592,13057,1468
Q1NBbFUfqIY,388506,23014,2839
z4o7B7EqlyA,66954,3149,267
S5R8KKFlDnk,222265,11863,1044
hv2bg6Luih8,57092,2360,288
1igfL2tMxcc,2305593,99024,11216
ZHh-JKu2mOM,164759,4970,324
AqZEAulmaaU,26798,1384,180
MAhQqNDmfEk,450279,15776,1623
p03HdC8aa9w,65884,3447,173
E_p5G8Afd-Q,352041,12414,945
cLDgJigdpBU,114468,4612,446
mRiX5jv40LA,156882,5695,350
rLHHU_BIN78,164393,5563,426
yG_K_dDkF8Y,253393,9198,741
oh_wnswLX4M,167416,6364,308
GKMc5e2XJWE,151602,6020,275
yU1S-GQz0Ho,65732,2495,332
GA0gK6rmqFQ,54914,3263,277
ClHHKkRwwW8,81119,3126,246
K1BUd-N4Vd0,93397,3499,172
lvP1kouZ24Y,125696,5092,265
UADrEZACfUU,115018,4338,258
pRSzcSXG4Tc,95496,3847,417
j9bHPb0tlJo,290494,8602,395
yDlT6kO1M8Q,70081,2828,326
trKVqUpFWV8,17878,689,118
WxOPhFhyx-U,130376,7365,1759
Ps40s2ivyyM,70789,3254,134
Zsm4UpFvDXY,330967,11881,1918
7EJxqEfLa-A,69802,3846,381
MmQI2kvsPsU,151814,6290,365
elVOBgN_zjk,108998,5030,667
Rd2DidDZukk,120166,5410,373
rNlDsVJo3fA,98542,3859,143
zOaQAM1VphE,44618,1995,145
P4rUzslkhJg,12764,539,97
n3FUnmerw8U,80748,3516,130
o1YIuxuEggs,42049,1694,136
T04sQN64TYQ,64020,2846,134
ZkeHGYCybAs,28470,1124,77
ziFWAwQLxGw,120517,8538,1228
oiTJnGS0yrY,240820,12133,1312
Vd6iksiczVA,135090,6080,239
Q5wG85k1ZsQ,238328,11447,1483
MOFS-EkApAo,107992,4380,201
-9AnHP7fGng,235118,10160,548
0ozj6mJKjNA,199238,10496,3415
3tfzRlSAY1Q,110671,6041,1660
FDlS3jh5Bug,424783,21394,3059
tuz9L1hgO04,361502,10846,436
fT4-aIX9wp8,27747,1995,118
42F6Tn5cmcs,105302,2450,117
LDTH0LpkYRM,81869,3033,142
x53G1rAn4b4,82887,2307,118
ACxzsWw4Wtg,189454,13511,2171
XjOPLNwbiCY,84528,3301,101
VN-iZGcyKNU,76274,3180,147
dzB2_5j_7h0,83111,4582,556
ngqsKTbxzt4,172250,7596,875
64YQnt5_4j8,54063,1420,49
h9FLZWWDO1M,146289,6381,598
G8gvUb0arjw,6761,317,17
QDbfjxyLXKE,204431,6436,279
zPEVqWcC4f8,98600,2995,140
cZRQNwkBbkM,456310,17378,967
0t6q8slqq6A,61236,2837,116
Mg58cqXP4q4,21486,1135,39
CHCTHOi4ggk,22926,1289,55
cntVFWMLfFI,27749,1114,48
39s28fwxQfM,648483,12878,675
qU03wrxbed4,16745,682,158
KetxIcAF_0k,38599,1971,148
BvBewjMD0vE,63714,2436,136
CD4lt_OQdbI,22649,1240,551
0tx11G-3Avo,116848,3412,226
y3YHHb8zXx0,134487,4092,650
7om4gIQdO-o,180851,9247,607
bKerem1sELM,90652,3908,687
JtbBaF4FS_g,56662,4764,37
tzhkcWTxiL0,168800,5502,527
lpO1wXhWsQA,209156,7864,404
MZyhNjekbJ0,31959,1566,79
uj0IhpcVqw8,50680,2300,902
vu2wk8P_RpM,71086,2739,1386
gfHIx4NsKxU,93510,4270,426
ddwf9vdHqH4,24481,1311,330
W_RKH8DOuWM,153612,7439,727
mv6aVF8mvpE,89600,3037,114
kxWnZj9Ke2U,73404,2388,162
_XVYk1vV8KU,112210,5254,259
mug2fzFkNfY,50975,3478,416
X2QL0Re8oiE,171038,10800,1533
mYua7XLdkHY,260098,7458,251
GAiD7atwvvY,19814,309,85
kMv7Ep3FcZk,193778,3111,1030
khNjjnnoVqo,478245,17324,1565
j4XJz7KszMs,135638,4314,385
MbDhb5ty-cU,320782,12213,1292
m231_-6LLCg,73330,2148,63
gcyDysculAc,121992,2042,93
ge3CErSC1G0,832767,17954,1294
3rHC63hre04,62642,1858,187
VuzN1TBsJz8,1070557,19654,867
d1Ac7qQsFMI,1005713,33426,2308
Q8MDD9diubs,257278,8893,646
YCaalK7NeC4,139108,7021,533
B5Dy8RYkYUc,298092,6694,797
sQ3He4AfIkc,43464,1963,124
65HwtDJwZxA,93934,2422,134
x2LWYrkSZuU,132068,5861,1307
W1b9ALf4ZFU,173694,9269,484
X5ksGwjLlnM,70591,3486,292
zIO5dwV9Bdc,157568,4829,421
4JAtNkeh6kE,48041,2659,535
9dUxng6C7HI,46059,2003,149
FAdLpCV4U4s,25988,1289,82
LL1OSB5ao-w,78966,2203,142
Sm7yrbNWz28,23355,876,19
ZazEtpjFri8,50519,2001,200
49Aqyf3qVrg,58593,2551,258
SGIx491dpJw,374651,10491,334
cMbhwsgbA7U,327485,9375,341
JR0jhnzM5VU,48127,1832,88
tmFihXRqcOo,225420,4218,274
Uq5FRudopJU,376637,8159,257
tRlQG1zEH6k,284240,5431,178
hk6kaIYwBAA,174120,2926,401
sTUJYwhFanA,212179,6083,499
Hyu6WXJeIA8,324787,6116,270
79sBacNtT8Q,298061,6417,459
S30lHmk3-vU,124196,2980,179
nmUROqCb1eA,58705,1508,185
fvFgpDG9C9A,49731,1779,107
qYBWuoXxWPw,140787,4041,306
3nQRqUpbFys,218586,6179,672
7E3ohfJI-Tg,201929,3640,762
ak0UCdbxxwM,80509,2555,403
sZYvmGOASc4,480968,12417,1173
qXzV2JrXZe0,440030,13807,3104
KaXmcmxIyRk,246151,5462,677
dE-s2PlKB38,43888,1121,134
Ie7sec_jpBA,1811950,53111,12050
c7tJwSd6O8Y,185850,4580,539
one1UjZWemc,318071,10055,524
fvT3uJkNNE8,164259,5470,433
Eu0MtsnZfZ8,127338,4027,2558
-uGZw7dEo0M,57659,2466,205
ZyUVb0Vvb9E,124695,4450,305
pcsOh2bbI4g,88882,5803,504
l9mIUDxVRv0,429282,15309,745
vLIwSUs5QpI,48784,2241,281
ENfsbFs0p-A,32240,2024,140
XftmB-v3-Ag,179296,7073,236
1IT2hKxh_Nc,106856,6257,493
w5RoJc6pstQ,228120,8968,266
rOARcG7qbuk,39671,2117,56
8FfwWL4nkO4,105559,3237,182
6Mku5GTEFz8,61655,2238,83
BWcGyLVCwlo,65790,2120,73
XSimxatHMsY,63652,2554,97
dtE3IojsCQ8,51670,1332,58
saQomrZdZ8w,114557,4017,231
2PsANj44N6M,39559,1727,152
VOLWAiL29iM,89163,3168,156
G8eoFJEYIjA,34535,1466,113
XKOs_p60BHs,58755,2684,68
HBnq9SVT4jQ,41718,1773,89
4DbxJg7o_Qc,34284,1104,27
1bhGyLyfxww,121987,4346,287
RW1doSgeI34,67144,2247,141
q1k1d3F74oY,28962,1320,69
TJcSqv_8Aw0,44415,886,75
ncpoU2nmIWI,78793,2284,197
Hjhceja4oLo,91466,2460,348
OP-wvfxWE_s,89206,3327,299
bsmE7PSRUy0,441299,9239,1641
ignMZ_hH4xU,180995,6931,652
nk5Dclo0Pbg,139681,4300,504
sv6fOCghaqE,28389,1089,197
l8_mBkQAj0Y,85897,2749,307
h4XU2oLM1k8,123697,4131,333
eF0DmNkSmo8,142700,1991,132
L2SGI50Dl5A,47974,656,122
mVrLf63yGsg,77789,1392,111
WCMZwBu9y7M,11687,193,48
muaccpoLJ1k,4344,143,29
GspJ_UUOxMI,149131,3429,366
HzVwdTVhrEc,137913,3396,553
1w_XPOGRbe4,67235,1598,300
3U_mYt1ob60,92673,2454,205
hTa25I1SqjU,157749,5166,441
aTJM2CsF49s,72863,1860,232
JiYHKKDfYpc,41344,856,210
vL2_cS0zAVU,55515,1544,105
pwv65BMFGl4,12933,281,81
XpWElF2qrHE,88548,1966,486
_sKx3r8clbo,25007,1006,154
-giaOxJF2as,390068,14438,1960
RBQern5gpqI,93236,5005,256
9H7yQE8wY3M,46347,1699,267
ZU8foqh8W7Y,100034,4415,422
GoocBiBlwCI,96408,3208,249
TaedpHFzjt0,18510,920,114
6U4zA6oe-Co,83665,3037,101
eoVlit2BJo4,61207,1868,102
JlFh376OLag,49778,1905,78
hTEgizPaodA,37765,1816,67
vj3QjntArQw,20464,888,60
Ul_FOcyeFA0,6029,324,12
-YnmcFu23MY,61513,1721,41
vX7h00oBgOQ,16215,998,43
TrleH-yF9Fs,31122,1791,167
W6KsUlgANow,53277,2178,92
hDnhtyhfB78,260973,4833,406
c9m7UKSzmGE,362298,7798,608
Vg3uJqBrs6w,1232669,19460,1924
DLP4M8gmdOE,198907,4586,366
UnbNT1sYtzc,265254,4739,358
dV77wUwPmMc,203749,4293,327
yaY61KAbZEo,182208,3038,196
R75vtXPM_f8,643405,10214,488
7k-AQ4TzMbs,319314,5301,425
x3YpTTa7V0I,249866,3704,368
uac71ebfZi0,434250,10387,719
xcfCDsRarO4,300387,7291,303
cHq14kFJLXU,480313,8992,597
1wXQDBV0nPA,26491,1134,176
A1KpudH7JUE,28537,1911,87
sdRS6KsQuaA,38310,1184,28
q-R2U7kZpvk,36714,1540,46
qR1WV3uIRbQ,34333,863,305
ON4hjfzb_5s,132040,5007,1024
