Video ID,View Count,Like Count,Comment Count
tC3n8xfo-qA,586461,6409,239
6a_YPiqF2-c,401057,6367,283
s_aQRjeE69g,529393,6992,382
Hf1_12w151g,2782689,32992,1146
cAI3dkXEp5w,198556,1589,67
FFmy1t_Yvc4,843030,11749,344
YO-U662C2WA,191878,2100,106
_NZI4HageRQ,272085,3959,173
UbWN31wO718,481601,4198,129
xm0YBwkyzGo,1908471,28138,965
NWB3vzadxiE,394855,4832,199
gMXilhei0Ec,456663,4752,178
S9N7iePN7EA,481979,8721,190
mACkMWS0LSw,458179,6221,212
E25RII9cCqE,472326,8136,335
wr2oj2TYoEY,361001,4980,90
f41DhVpiv-g,1866409,22096,561
8BTSAvGBTwA,280137,3011,172
HSa7IAJLXPM,630577,7720,236
-3rGtR_J1rQ,148121,2321,169
nF9nuPDpw_0,434007,7833,550
_8gxqr9eiuU,87224,698,0
2ISlxPR70oo,19411,343,0
VhMw3FMJZt0,2669,17,0
xvLoT7ejOww,235,3,0
f9Jqzl7s84I,1504,6,0
KBm-GReZAqI,248035,841,112
ozu82n8mHFM,1964,29,7
tIHaML6KhA8,729,11,0
9_i4Z_v_H88,1044,11,0
t_l0lzoRp-I,844,17,0
ijQREsw3ZQw,2029,17,0
sBtNWm9zIKU,246037,1806,0
KWkeBaFM25M,12535,94,81
lhQfavLbTzQ,37647,861,333
Wt-5MWGCnJs,26884,698,118
z1YP2nzEP1Q,2072,129,61
eyJHphFofjI,2687,114,55
SutUiu6d4Iw,6829,376,110
15jelO2VXY8,14419,485,98
NBn9kQUt1Pk,19290,353,120
DAtMH4R6oQM,3132,79,34
9fKcl3kItng,3704,180,57
-bLoqjH-KLY,19232,401,241
bPxBe2fg35g,2488,199,71
yiH8RG1R0m8,2698,116,50
bfd-fBTCFuI,2835,82,34
puZy86oLRNA,0,0,0
t0KLuAWv7do,284773,3863,1453
ka-STLHgGpo,6656,156,39
vCqmAESDnKM,3486,90,74
8cfweBgx41U,6903,171,65
AzBBjBanvF8,12318,213,73
_62dpW9KiGA,10111,269,164
9wAKRFYDIQ4,2078,88,78
7VPx2aCZFlo,8752,430,170
lVOzzo8Uh9k,5317,173,73
qgz0D4nmzCk,17629,336,174
SxBfMviGMw0,1776,74,49
ubhIkV1YUss,48585,802,216
P41cfGNBCIg,1922,88,22
ZifKDJiM0zI,9687,354,92
oLgQCcW8MwE,72567,947,326
ToA3YTdKSaA,361437,5598,1790
8JjEz0Tw9uA,1279,66,27
D5gHHFW2x3w,17157,380,136
-L4QaGucxdE,14256,436,188
i876LXJgsok,27756,949,198
QITO_1JsW1c,47941,1426,268
gqElSdaKQTM,6072,217,50
HU7emQc9hd8,3181,161,77
a1Nm_2uXvhI,4288,320,71
olLuNXeNXnk,4511,285,75
BGujazrbsyw,14587,542,99
nu3_Dko3ETo,3355,244,78
vORwmKzL5hQ,4917,255,88
7N83WgMhGFg,32524,776,84
HGkmphpe8uM,1124,98,56
qpNNq6QFmuM,1958,116,85
0SJ_E6VIB28,135033,4362,506
uKZcYU6MxMg,10718,238,88
GdPYH2LGYU8,2036,175,86
lKh3kVzr1d0,6534,208,70
MwGHSqKerOo,4877,193,45
yTJoJV5VulM,1024,131,23
tifIFfqM7lg,2773,133,28
yUIysAnpO2k,6266,189,33
X5lKl8tTH9w,11245,361,134
GBXtb7l13bY,11675,404,123
Vre8NTDyDgk,3192,172,51
2W-cSqtVa2s,1971,96,58
sTN5HmiDQFI,2148,137,43
vO4jGIOjjBc,1025,83,21
IIdwZofDi64,7352,108,34
LcMzxK4wipo,3395,116,82
r5Ep8vTgHbo,1650,117,56
bSgcPeiGSeI,20628,271,71
HcvgU-dx7wE,2288,136,33
H34sOwyicCA,1671,97,13
IekYcdU3Pl8,828,72,51
z1Y3EBAexow,4611,170,113
lThVy8TD3yg,4997,238,64
DM0h3NP1FZk,1776,138,23
JbRTXTHPPSk,3239,324,86
xkx3Emwq0mQ,1410,103,18
l3vRXBLFj5A,899,71,19
b2F8wBaFYm8,1737,107,28
s75l6DVI6WA,2677474,16232,1620
Vmc3bqrUrJA,344067,2599,250
3bkS2hVJZM0,246528,1250,125
XQvzrAOXJx8,42022,1324,53
xOdza-g-fkU,11504,807,72
hMM8ZOoJZrg,12637,890,77
el4RuUzpdEs,3020,299,21
q8H1QnaVpzo,13842,917,62
Z5uC4dN6qS4,11302,642,33
B2KB93_8WlE,23828,1432,51
_axjtAbqd6U,10901,765,54
VyMm1lU4_N0,18920,676,16
hNLwfFhX9GQ,76686,2004,67
zjpe12HM-pk,111836,3338,225
44SXzqbrMWg,45658,1118,128
-qh_ENBmkk0,16236,939,42
JCNW2zZ2iGE,13429,1137,155
qhExsHgVipA,17005,1510,115
IGDtt-MM0Bo,19003,1415,68
n1US9aYYpbY,162771,3557,239
qcFu5fAiYcQ,13730,1285,93
Y9EeZYXev2I,12948,1086,74
AMvxJDDvJdU,1501,175,17
5lJUVvBzl1s,3165,390,25
0AgEOisahXE,9089,764,44
yJJ9zY3EShw,4194,426,44
LJVZTzmf-Yk,145854,5609,549
8L0WHBuAMOo,45873,2129,244
9v5cbDdzKbw,30340,2653,164
sywulHB6BxU,9728,945,55
b71KmyCAeIE,13978,1163,48
FLra5yupzGc,10077,945,52
bruzUbDMQJU,4102,435,30
csBlhSP3F0E,7936,715,71
sVPw2O0L9G0,409958,8634,381
C6VEIWykx0I,59433,3582,333
tOfzlbFYuvE,24872,878,35
gtCLiwroru0,17469,1640,107
ZJCBnHZ0YJI,174429,4874,617
-pAw3q_jRNo,33015,1669,131
7qr2i8InfE0,40979,1810,160
g0bR4rQN-80,6409,593,0
kns1fdrf4VU,7382,470,41
WGIGMmv4agU,28674,1318,76
h59_szYy7i8,16947,984,83
qlNGoInG2b0,14699,1141,116
kMmWSCJq7pM,11550,1265,173
RnwhIxzL8p8,9346,657,57
Vl_O7h4apVc,6393,520,43
Yt2t590RDlg,8051,600,28
y0HdMaJy2qU,45435,1715,53
umwO-zu8Q7Y,9338,655,43
