Video Id,Channel Id
0iNlBNR9PGE,UCVdvbdhaXo01c1G4mNp1RsQ
0i_ZIWC0c1M,UComAntq7Iq5SxYHUJuJ6ekg
0icIUe7SCcQ,UCtlyP_lWB9yXaSqGmUQYIJg
0ifwCzzCdvc,UCvU278VonkFgEvpKqRuZs1Q
0jgSvwOOn4Y,UCuBgQMllxvxKLuABHZlV5KA
0mDJwB6DLvg,UCuBRi97Sn5MDEW0FnI2KDHQ
0nRXbv67-4M,UCbDelWG0lH_xzQjnH-bNB_w
0nVPBJnjzeI,UCYr4VTQfBpXrccQw_H2S8RA
0nhplwwV_9g,UCryJ4vhASeu7uhXRPOL3WhA
0o5lQ6LZ4rI,UCQKWCDl0BKMIAj-mrjLIySg
0ovXuSBwktM,UCWqPRUsJlZaDp-PVbqEch9g
0qIhFhM6eKw,UCWjSwkIn2gGgETcZZYaO-6g
0r-T21BKkMk,UCG57u0jfLpuPuCAHRUtTxdg
0r3rU0ipuiQ,UCPAz3hWHiBC-c1x4K0-atsg
0rGpMzBcnX4,UCqCI4i-mZ4Cu6Kr8emMaf1A
0rqsRvyIvIc,UCFH-Qa1s6rQRTrQjFg8N84Q
0s6stvGVAEk,UCl4I_ztLWgW8ybm9M0n1pyg
0tA3LAVwkIo,UCoWQLZoPwn3mJ-oiPrwDpbA
0uJu9JkxNwI,UCl4I_ztLWgW8ybm9M0n1pyg
0vtbuxqyclc,UCryJ4vhASeu7uhXRPOL3WhA
0yqdgfLWhpM,UCQzpQN0PTfIx1ARe7lL1jXQ
0z_UIEHwskI,UCYY2mNcq7pv6IRW92JIT6DA
0zkiGw4F5Pw,UCbfLaTfmCeR2aykiRSGBbTQ
0zyiBgLpoeE,UCeT1qAcQxLP6cEfbMe85QCQ
1-4pxMY9rq8,UCYmFKw7swKPJiaMloRmptHw
1-b2aT0of_Y,UCD58HBLhMozUsE6JwK3y10g
1-m9KLTaeaI,UC8TejFCTSwkcpOubPVOcCaQ
12cGM8Quszs,UCCgVh36x3hbuRnHMpwl443Q
12t-wjHSq5c,UCl7giZXLlLIAEKV-TVoBW7Q
13VgNwbbOcw,UCt9BTGSxATM6axwfTY4KnEg
13wZEXCrprY,UC6_2wj3vR_j5EiqB-hZ7BUA
1427-FjkU3s,UCiEpme4y4_PQGsPZHA3gK5w
15O6Q7JINkE,UCZJwBtVWmM0iWnagPnRX_rA
160z2kH-pfQ,UCPAz3hWHiBC-c1x4K0-atsg
16GQKjDDrXM,UCDSd4U2FQAB4XWgHMjoRrzg
17JEASUW0zI,UCXwnQuzCX18pb2Oq3EY7ovQ
185FT0mCgvc,UCTL128JylZO50B0MqbUuhSw
